trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
171,False,"{'a': 0.8, 'e': 0.07658772771199168}",30,17,22.411310970169605,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.8, 'e': 0.0754389117963118}",25,15,19.527363161784876,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.8, 'e': 0.07430732811936712}",25,13,24.188803242081853,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.8, 'e': 0.07319271819757661}",30,22,14.000766067246438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.8, 'e': 0.07209482742461297}",20,14,12.050450751276339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.8, 'e': 0.07101340501324377}",20,16,7.718032820292929,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.8, 'e': 0.06994820393804511}",25,11,26.47231421428375,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.8, 'e': 0.06889898087897443}",35,15,17.699644449246147,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
179,False,"{'a': 0.8, 'e': 0.06786549616578982}",20,12,18.141436918936297,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.8, 'e': 0.06684751372330297}",25,20,9.353122069507569,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.8, 'e': 0.06584480101745342}",20,11,-14.065080939640211,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
182,False,"{'a': 0.8, 'e': 0.06485712900219162}",20,11,17.534094249030645,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
